Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|G1, INTEGRADA|11/12/2015| 87032379|2003|BMW|Z4 3.0I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|2|2|0|23079.61|2769.55|
ESTADOS UNIDOS|SANTO TOMAS DE CASTILLA|06/01/2016| 87032379|2004|BMW|X5 3.0I 4X4|3000|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|26575.69|3189.08|
ALEMANIA REP. FED.|TECUN UMAN|12/12/2015| 87032379|2000|BMW|323i|2500|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|19252.54|2310.3|
ESTADOS UNIDOS|PUERTO BARRIOS|29/12/2015| 87032379|2011|BMW|128I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|4|2|0|58077.27|6969.27|
ALEMANIA REP. FED.|TECUN UMAN|22/12/2015| 87032379|2001|BMW|330I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|11247.71|1349.73|
ALEMANIA REP. FED.|G1, INTEGRADA|07/01/2016| 87032369|2013|BMW|328I|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|99759.46|11971.14|
ALEMANIA REP. FED.|PUERTO BARRIOS|05/01/2016| 87032369|2015|BMW|320I|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|104695.78|12563.49|
ESTADOS UNIDOS|PUERTO BARRIOS|19/12/2015| 87032379|2009|BMW|328I|3000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|25070.79|3008.49|
ESTADOS UNIDOS|CENTRAL DE GUATEMALA|16/12/2015| 87032490|2015|BMW|X5  XDRIVE50I|4395|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|5|0|817043.82|98045.26|
ALEMANIA REP. FED.|PUERTO BARRIOS|09/12/2015| 87115090|2015|BMW|R 1200 R|1170|LIVIANO|MOTO|DISTRIBUIDOR|GASOLINA|2|0|0|108347.86|13001.74|
